Symbol,DateTime,OptionType,Strike,LTP,IV,Delta,Gamma,Theta,Vega,OpenInterest
RELIANCE,2024-01-01 09:32:00,PE,2500,99.4,20.8,0.435,0.0105,-0.0564,0.0917,9414
RELIANCE,2024-01-01 09:33:00,CE,2500,99.46,19.82,0.501,0.0082,-0.0532,0.1088,10324
RELIANCE,2024-01-01 09:34:00,PE,2500,99.48,19.76,0.457,0.0135,-0.0597,0.121,10627
RELIANCE,2024-01-01 09:35:00,CE,2500,99.18,21.87,0.543,0.0145,-0.0511,0.0809,10451
RELIANCE,2024-01-01 09:36:00,PE,2500,100.01,21.4,0.504,0.0117,-0.0593,0.0779,10326
RELIANCE,2024-01-01 09:37:00,CE,2500,100.89,20.55,0.51,0.01,-0.0507,0.1412,10251
RELIANCE,2024-01-01 09:38:00,PE,2500,101.02,20.27,0.473,0.0092,-0.0459,0.1365,9837
RELIANCE,2024-01-01 09:39:00,CE,2500,99.87,20.29,0.515,0.0042,-0.0724,0.107,9697
RELIANCE,2024-01-01 09:40:00,PE,2500,99.79,20.36,0.545,0.0061,-0.0627,0.0839,8770
RELIANCE,2024-01-01 09:41:00,CE,2500,98.3,21.95,0.491,0.0127,-0.0388,0.0649,9661
RELIANCE,2024-01-01 09:42:00,PE,2500,98.58,19.04,0.509,0.0072,-0.0605,0.0968,10524
RELIANCE,2024-01-01 09:43:00,CE,2500,101.31,20.38,0.542,0.0146,-0.0575,0.1294,9998
RELIANCE,2024-01-01 09:44:00,PE,2500,99.8,20.26,0.432,0.0057,-0.0372,0.1032,10501
RELIANCE,2024-01-01 09:45:00,CE,2500,99.05,20.35,0.547,0.0142,-0.0494,0.0955,9344
RELIANCE,2024-01-01 09:46:00,PE,2500,100.45,19.77,0.481,0.0174,-0.0458,0.0728,9796
RELIANCE,2024-01-01 09:47:00,CE,2500,100.82,19.94,0.464,0.0056,-0.0584,0.0784,10009
RELIANCE,2024-01-01 09:48:00,PE,2500,101.17,21.34,0.583,0.0099,-0.0515,0.0947,9678
RELIANCE,2024-01-01 09:49:00,CE,2500,101.32,20.59,0.542,0.0195,-0.0442,0.0904,9791
RELIANCE,2024-01-01 09:50:00,PE,2500,100.6,21.34,0.485,0.0142,-0.0379,0.1045,8977
RELIANCE,2024-01-01 09:51:00,CE,2500,97.91,19.22,0.456,0.0093,-0.0606,0.0925,10464
RELIANCE,2024-01-01 09:52:00,PE,2500,99.7,18.97,0.487,0.0188,-0.0515,0.1249,10278
RELIANCE,2024-01-01 09:53:00,CE,2500,100.36,20.99,0.47,0.0057,-0.0435,0.1144,10821
RELIANCE,2024-01-01 09:54:00,PE,2500,101.49,17.3,0.474,0.0181,-0.0598,0.1016,9820
RELIANCE,2024-01-01 09:55:00,CE,2500,99.54,18.27,0.55,0.017,-0.0343,0.1428,11385
RELIANCE,2024-01-01 09:56:00,PE,2500,98.71,21.57,0.493,0.0064,-0.0433,0.0966,9945
RELIANCE,2024-01-01 09:57:00,CE,2500,99.6,21.15,0.464,0.0035,-0.0567,0.0805,9909
RELIANCE,2024-01-01 09:58:00,PE,2500,99.78,18.89,0.51,0.0135,-0.0525,0.0983,10033
RELIANCE,2024-01-01 09:59:00,CE,2500,99.24,19.78,0.531,0.0152,-0.0458,0.1055,9910
RELIANCE,2024-01-01 10:00:00,PE,2500,99.1,19.43,0.476,0.0087,-0.0667,0.0737,9696
RELIANCE,2024-01-01 10:01:00,CE,2500,99.88,18.65,0.541,0.0067,-0.0369,0.1336,9671
RELIANCE,2024-01-01 10:02:00,PE,2500,99.01,19.28,0.475,0.0066,-0.07,0.0894,9111
RELIANCE,2024-01-01 10:03:00,CE,2500,100.45,21.2,0.471,0.014,-0.0469,0.1076,9582
RELIANCE,2024-01-01 10:04:00,PE,2500,99.72,19.62,0.486,0.0151,-0.0458,0.0885,9234
RELIANCE,2024-01-01 10:05:00,CE,2500,100.64,20.2,0.555,0.0046,-0.0307,0.1081,8387
RELIANCE,2024-01-01 10:06:00,PE,2500,99.73,19.61,0.528,0.0034,-0.0631,0.1228,9937
RELIANCE,2024-01-01 10:07:00,CE,2500,100.89,20.97,0.514,0.014,-0.0491,0.0675,9368
RELIANCE,2024-01-01 10:08:00,PE,2500,100.41,19.23,0.521,0.013,-0.0562,0.0756,9170
RELIANCE,2024-01-01 10:09:00,CE,2500,98.74,19.17,0.477,0.0073,-0.0485,0.1113,9408
RELIANCE,2024-01-01 10:10:00,PE,2500,100.5,21.02,0.501,0.006,-0.0534,0.0896,10390
RELIANCE,2024-01-01 10:11:00,CE,2500,99.9,21.33,0.452,0.0055,-0.0388,0.1027,9943
RELIANCE,2024-01-01 10:12:00,PE,2500,101.69,20.31,0.54,0.0065,-0.0495,0.1264,9848
RELIANCE,2024-01-01 10:13:00,CE,2500,100.3,19.16,0.52,0.0065,-0.0527,0.1272,9954
RELIANCE,2024-01-01 10:14:00,PE,2500,100.52,19.08,0.429,0.0166,-0.0582,0.1225,9315
HDFCBANK,2024-01-01 09:15:00,CE,1600,101.05,19.64,0.552,0.0061,-0.0629,0.0864,9918
HDFCBANK,2024-01-01 09:16:00,PE,1600,102.6,19.72,0.511,0.0109,-0.046,0.094,10790
HDFCBANK,2024-01-01 09:17:00,CE,1600,99.6,19.12,0.478,0.0111,-0.0461,0.0872,10631
HDFCBANK,2024-01-01 09:18:00,PE,1600,98.38,21.02,0.536,0.0115,-0.0312,0.1145,10362
HDFCBANK,2024-01-01 09:19:00,CE,1600,100.85,18.56,0.462,0.0181,-0.0508,0.0768,10346
HDFCBANK,2024-01-01 09:20:00,PE,1600,100.55,20.57,0.438,0.0146,-0.0454,0.0993,9273
HDFCBANK,2024-01-01 09:21:00,CE,1600,101.02,18.91,0.503,0.0153,-0.0353,0.0792,9796
HDFCBANK,2024-01-01 09:22:00,PE,1600,99.7,20.19,0.54,0.0147,-0.0511,0.0808,10020
HDFCBANK,2024-01-01 09:23:00,CE,1600,100.18,20.28,0.508,0.015,-0.0402,0.0846,10700
HDFCBANK,2024-01-01 09:24:00,PE,1600,101.74,20.45,0.448,0.0136,-0.0436,0.1038,9166
HDFCBANK,2024-01-01 09:25:00,CE,1600,99.33,19.22,0.532,0.0108,-0.0657,0.0842,9835
HDFCBANK,2024-01-01 09:26:00,PE,1600,101.49,19.71,0.391,0.0152,-0.0452,0.1218,9202
HDFCBANK,2024-01-01 09:27:00,CE,1600,100.46,18.03,0.519,0.0083,-0.0443,0.1035,9299
HDFCBANK,2024-01-01 09:28:00,PE,1600,100.89,18.22,0.503,0.0164,-0.0585,0.1169,10281
HDFCBANK,2024-01-01 09:29:00,CE,1600,99.72,20.24,0.581,0.01,-0.0479,0.1042,9710
HDFCBANK,2024-01-01 09:30:00,PE,1600,100.39,20.37,0.437,0.008,-0.029,0.0768,10890
HDFCBANK,2024-01-01 09:31:00,CE,1600,99.94,19.49,0.628,0.0065,-0.0721,0.0906,11187
HDFCBANK,2024-01-01 09:32:00,PE,1600,99.76,18.26,0.509,0.0145,-0.0601,0.1037,9033
HDFCBANK,2024-01-01 09:33:00,CE,1600,102.24,20.96,0.503,0.0078,-0.0523,0.1224,9992
HDFCBANK,2024-01-01 09:34:00,PE,1600,100.2,20.66,0.545,0.0169,-0.0459,0.081,9153
HDFCBANK,2024-01-01 09:35:00,CE,1600,100.24,19.78,0.527,0.0149,-0.0722,0.1217,10534
HDFCBANK,2024-01-01 09:36:00,PE,1600,98.3,20.07,0.515,0.0092,-0.0542,0.121,8994
HDFCBANK,2024-01-01 09:37:00,CE,1600,100.58,20.09,0.521,0.0149,-0.039,0.0884,10002
HDFCBANK,2024-01-01 09:38:00,PE,1600,99.4,21.34,0.548,-0.0023,-0.0503,0.1619,10508
HDFCBANK,2024-01-01 09:39:00,CE,1600,98.85,18.76,0.519,0.0109,-0.0482,0.0577,10464
HDFCBANK,2024-01-01 09:40:00,PE,1600,99.51,19.04,0.469,0.0179,-0.0507,0.0797,9618
HDFCBANK,2024-01-01 09:41:00,CE,1600,100.54,19.82,0.492,0.0125,-0.0451,0.1313,10273
HDFCBANK,2024-01-01 09:42:00,PE,1600,100.25,20.74,0.502,0.009,-0.0502,0.1165,10146
HDFCBANK,2024-01-01 09:43:00,CE,1600,100.39,18.54,0.511,0.0055,-0.0469,0.1054,10221
HDFCBANK,2024-01-01 09:44:00,PE,1600,100.19,19.23,0.481,0.0022,-0.0463,0.1436,9960
HDFCBANK,2024-01-01 09:45:00,CE,1600,98.42,20.99,0.465,0.007,-0.0694,0.0838,10233
HDFCBANK,2024-01-01 09:46:00,PE,1600,99.34,22.01,0.443,0.0102,-0.0498,0.1058,9520
HDFCBANK,2024-01-01 09:47:00,CE,1600,99.33,19.56,0.555,0.0095,-0.0308,0.0688,10423
HDFCBANK,2024-01-01 09:48:00,PE,1600,99.48,19.52,0.503,0.0064,-0.0532,0.1321,9888
HDFCBANK,2024-01-01 09:49:00,CE,1600,99.21,20.26,0.389,0.0052,-0.0576,0.0549,9513
HDFCBANK,2024-01-01 09:50:00,PE,1600,101.49,20.59,0.47,0.0104,-0.0523,0.0652,9838
HDFCBANK,2024-01-01 09:51:00,CE,1600,101.09,20.0,0.45,0.0066,-0.0349,0.1171,10136
HDFCBANK,2024-01-01 09:52:00,PE,1600,98.36,20.34,0.513,0.0154,-0.0541,0.0923,10270
HDFCBANK,2024-01-01 09:53:00,CE,1600,100.22,17.82,0.503,0.0023,-0.0432,0.1071,10180
HDFCBANK,2024-01-01 09:54:00,PE,1600,99.77,18.99,0.341,0.0068,-0.0586,0.0541,10087
HDFCBANK,2024-01-01 09:55:00,CE,1600,100.4,19.42,0.476,0.0125,-0.0462,0.0814,9258
HDFCBANK,2024-01-01 09:56:00,PE,1600,99.13,18.1,0.47,0.0124,-0.0512,0.1191,10261
HDFCBANK,2024-01-01 09:57:00,CE,1600,100.55,18.81,0.504,0.0096,-0.0488,0.1162,10871
HDFCBANK,2024-01-01 09:58:00,PE,1600,99.63,19.26,0.533,0.0107,-0.0608,0.1223,9164
HDFCBANK,2024-01-01 09:59:00,CE,1600,100.69,19.91,0.54,0.0149,-0.0476,0.1103,10400
HDFCBANK,2024-01-01 10:00:00,PE,1600,97.9,20.87,0.452,0.0145,-0.048,0.0651,9385
HDFCBANK,2024-01-01 10:01:00,CE,1600,99.05,20.02,0.402,0.012,-0.0646,0.1091,9698
HDFCBANK,2024-01-01 10:02:00,PE,1600,100.27,22.65,0.527,0.0088,-0.0462,0.0616,10380
HDFCBANK,2024-01-01 10:03:00,CE,1600,99.98,20.07,0.515,0.0056,-0.0572,0.0761,10845
HDFCBANK,2024-01-01 10:04:00,PE,1600,98.57,19.17,0.497,0.0033,-0.0532,0.1125,9689
HDFCBANK,2024-01-01 10:05:00,CE,1600,100.19,20.86,0.449,0.0057,-0.0485,0.105,10059
HDFCBANK,2024-01-01 10:06:00,PE,1600,100.35,21.13,0.568,0.0072,-0.0245,0.082,10640
HDFCBANK,2024-01-01 10:07:00,CE,1600,101.36,21.46,0.471,0.0093,-0.0498,0.1055,10279
HDFCBANK,2024-01-01 10:08:00,PE,1600,101.17,20.93,0.579,0.0093,-0.0659,0.1055,9802
HDFCBANK,2024-01-01 10:09:00,CE,1600,101.19,20.96,0.504,0.0093,-0.0676,0.1139,9845
HDFCBANK,2024-01-01 10:10:00,PE,1600,99.37,19.12,0.515,0.0105,-0.0439,0.0785,10552
HDFCBANK,2024-01-01 10:11:00,CE,1600,100.16,20.2,0.538,0.013,-0.0633,0.1109,10788
HDFCBANK,2024-01-01 10:12:00,PE,1600,100.2,22.28,0.498,0.0033,-0.0432,0.044,10883
HDFCBANK,2024-01-01 10:13:00,CE,1600,100.1,20.32,0.469,0.0188,-0.0442,0.1129,11089
HDFCBANK,2024-01-01 10:14:00,PE,1600,100.8,21.21,0.552,0.0067,-0.0372,0.1112,9720
